14
Winterwings-DEATHKNIGHT
Dirkon-DEMONHUNTER
Deathhammer-DRUID
Resoka-HUNTER
Chàrizard-MAGE
Xiaoabu-MAGE
Cassezvous-MONK
Dreamlost-PALADIN
Wîllów-PALADIN
Exoskeleton-PRIEST
Padgarios-ROGUE
Paxi-WARLOCK
Blackcuillin-WARRIOR
Totempledge-WARRIOR
11
Bladesworn Disciple
Burning Hound
Chittering Fiend
Dreamlost-Sargeras
Hateful Scamp
Invasive Gazer
Shadowsworn Betrayer
Vengeful Conqueror
Vogrethar the Defiled
Wicked Corruptor
Zephyr Surfer
10/30 13:27:10.986  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
10/30 13:27:27.038  SPELL_CAST_SUCCESS,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,0000000000000000,nil,0x80000000,0x80000000,211793,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/30 13:27:27.038  SPELL_AURA_REFRESH,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:27.038  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:27.038  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125921-0001776077,"Chittering Fiend",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:27.139  SPELL_CAST_SUCCESS,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,49020,"Obliterate",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/30 13:27:27.139  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,211805,"Gathering Storm",0x10,BUFF
10/30 13:27:27.139  SPELL_AURA_APPLIED_DOSE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,211805,"Gathering Storm",0x10,BUFF,2
10/30 13:27:27.139  SPELL_ENERGIZE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,49020,"Obliterate",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,20,0,6,0
10/30 13:27:27.139  SWING_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,47598,-1,1,0,0,0,nil,nil,nil
10/30 13:27:27.139  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,50401,"Razorice",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,19308,-1,16,0,0,0,nil,nil,nil
10/30 13:27:27.139  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125776-0002776077,"Wicked Corruptor",0xa48,0x0,51714,"Razorice",0x10,DEBUFF
10/30 13:27:27.139  SPELL_AURA_REMOVED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,253595,"Inexorable Assault",0x1,BUFF
10/30 13:27:27.139  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,230152,"Legion's Gaze",0x1,BUFF
10/30 13:27:27.139  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,53365,"Unholy Strength",0x1,BUFF
10/30 13:27:27.139  SPELL_HEAL,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,53365,"Unholy Strength",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,264752,264752,0,nil
