10/29 18:38:57.871  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
10/29 19:32:07.919  PARTY_KILL,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0
10/29 19:32:07.919  SPELL_DAMAGE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0,185358,"Arcane Shot",0x40,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,204788,35094,64,0,0,0,nil,nil,nil
10/29 19:32:07.919  SPELL_AURA_APPLIED_DOSE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,204090,"Bullseye",0x1,BUFF,2
10/29 19:32:07.919  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-3778-1220-1711-91308-000E766129,"Equine Sunrunner",0x10a28,0x0
10/29 19:32:08.018  SPELL_CAST_FAILED,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,30455,"Ice Lance",0x10,"No target"
10/29 19:32:12.626  SPELL_AURA_REMOVED,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,195391,"Jouster",0x1,BUFF
10/29 19:32:12.820  SPELL_AURA_REMOVED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,190909,"Mark of the Claw",0x1,BUFF
10/29 19:32:13.933  SPELL_AURA_REMOVED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,204090,"Bullseye",0x1,BUFF
10/29 19:32:34.840  SPELL_ENERGIZE,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,187675,"Arcane Shot",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,0,8,2,0
10/29 19:32:34.840  SPELL_CAST_SUCCESS,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000876612A,"Equine Sunrunner",0xa28,0x0,185358,"Arcane Shot",0x40,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/29 19:32:34.840  SPELL_AURA_REMOVED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,223138,"Marking Targets",0x1,BUFF
10/29 19:32:34.840  SPELL_AURA_APPLIED,Player-76-089DC05C,"Gofast-Sargeras",0x512,0x0,Creature-0-3778-1220-1711-91308-000876612A,"Equine Sunrunner",0xa28,0x0,185365,"Hunter's Mark",0x1,DEBUFF
10/29 19:32:34.956  SPELL_CAST_SUCCESS,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,Creature-0-3778-1220-1711-91308-0008F6612A,"Equine Sunrunner",0x10a28,0x0,30455,"Ice Lance",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/29 19:32:34.956  SPELL_AURA_APPLIED,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,Player-76-096A6F5C,"Chàrizard-Sargeras",0x511,0x0,242586,"Concordance of the Legionfall",0x1,BUFF
